1A,3,12/12/2023 00:00:00,12/12/2023 00:00:00,hvhjv,654,False
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
1A,3,12/12/2023 00:00:00,12/12/2023 00:00:00,hvhjv,654,False
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
1A,3,12/12/2023 00:00:00,12/12/2023 00:00:00,yftyv,6467,False
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
1A,3,12/12/2023 00:00:00,12/12/2023 00:00:00, k k kn ,45,True
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1A,3,12/12/2016 00:00:00,12/12/2023 00:00:00,test,787,True
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
UCR,CompanyId,ClaimDate,LossDate,AssuredName,IncurredLoss,Closed
1A,3,12/12/2023 00:00:00,12/12/2023 00:00:00,bjhvjvv,1234,True
2B,1,09/03/2021,12/08/2023,Julia Roberts,405.67,1
3C,3,06/06/2012,06/04/2008,Tom Cruise,309.23,0
